cities,zip_codes,regions,code_insee,appartement-loyer-m2,appartement12-loyer-m2,appartement3-loyer-m2,maison-loyer-m2
Cormicy,51220.0,Grand Est,51051,10.2666418416739,12.5379046885608,9.49201734586607,9.14604585864686
Cormontreuil,51350.0,Grand Est,51172,12.7609909476538,14.5876403931382,12.0496524999747,9.14604585864686
Cormoyeux,51480.0,Grand Est,51048,8.85475907336912,12.5379046885608,7.97297048962313,7.92601953898569
Corribert,51270.0,Grand Est,51033,8.85475907336912,9.85398427865536,6.81085162371939,7.25460184655148
Corrobert,51210.0,Grand Est,51050,10.5103594275762,9.85398427865536,6.81085162371939,8.19430659778241
Corroy,51230.0,Grand Est,51010,8.69534393191396,10.2948464962792,7.24158026089527,7.18878902199597
Coulommes-la-Montagne,51390.0,Grand Est,51072,10.7305304064312,10.817291698197,8.35445493756338,9.84933586391743
Coupetz,51240.0,Grand Est,51001,7.92659336339227,9.35537423038193,6.90883777015173,7.06477583847091
Coupéville,51240.0,Grand Est,51001,7.92659336339227,9.35537423038193,6.90883777015173,7.06477583847091
Courcelles-Sapicourt,51140.0,Grand Est,51077,10.2666418416739,12.5379046885608,8.07217269885239,8.08479226311576
Courcemain,51260.0,Grand Est,51004,8.14995185833774,8.95681354635853,8.09729561793141,7.79971657452783
Courcy,51220.0,Grand Est,51051,10.2666418416739,12.5379046885608,9.49201734586607,9.14604585864686
Courdemanges,51300.0,Grand Est,51039,8.89447927962285,9.66793923238746,6.90883777015173,6.80709083195653
Courgivaux,51310.0,Grand Est,51071,10.7580993768278,13.3758570583311,8.09729561793141,7.18878902199597
Courjeonnet,51270.0,Grand Est,51033,8.85475907336912,9.85398427865536,6.81085162371939,7.25460184655148
Courlandon,51170.0,Grand Est,51013,9.39573284032175,11.4732729111633,8.58735108075574,8.02360243402776
Courmas,51390.0,Grand Est,51072,10.7305304064312,10.817291698197,8.35445493756338,9.84933586391743
Courtagnon,51480.0,Grand Est,51048,8.85475907336912,12.5379046885608,7.97297048962313,7.92601953898569
Courtémont,51800.0,Grand Est,51015,6.96156085062336,9.23467026147072,6.26205931685786,5.53242643251973
Courthiézy,51700.0,Grand Est,51012,8.85475907336912,10.817291698197,7.4580921810376,8.02360243402776
Courtisols,51460.0,Grand Est,51193,9.24020465425484,9.35537423038193,6.99391843007736,7.94483983739533
Courville,51170.0,Grand Est,51013,9.39573284032175,11.4732729111633,8.58735108075574,8.02360243402776
Couvrot,51300.0,Grand Est,51039,8.89447927962285,9.66793923238746,6.90883777015173,6.80709083195653
Cramant,51530.0,Grand Est,51002,8.85475907336912,10.817291698197,7.97297048962313,7.92601953898569
